cs_num,cs_title,cs_content,cs_rating,cs_category,cs_topic,cs_level,cs_style
15,"Mastering IELTS Writing: Task 1 (Academic)","Complete preparation to achieve the band score you need (Band 6 to Band 8) in IELTS Writing Task 1 Academic.",4.69,ielts,writing,beginner,explanation
16,"How To Prepare For IELTS In 10 Days","You are going to prepare for IELTS and you don't know what to start with? This course is definitely for you then!",3.7,ielts,"writing,speaking,reading,listening",beginner,example
17,"Score High IELTS Speaking","Your pathway to 7+ in IELTS speaking",4.5,ielts,speaking,intermediate,example
18,"Beyond English: IELTS Writing Task 2","Achieve a 7 or higher in IELTS Writing Task 2",3.95,ielts,writing,intermediate,example
19,"How to get a Band 7 in your IELTS Writing!","Learn useful techniques, skills and tips to get a band 7 and above in your IELTS, General or Academic exams",3.85,ielts,writing,beginner,explanation
20,"IELTS Band 7 Preparation Speaking Course","Guide to learning and understanding strategy and tactics to success on IELTS Speaking.",4.47,ielts,speaking,beginner,explanation
21,"IELTS Band 7+ Preparation Reading Course","A guide to learning how to answer each IELTS Reading Comprehension Question",4.1,ielts,reading,beginner,example
22,"IELTS Band 7+ Academic Writing Preparation Course","A guide to strategy and tactics for IELTS Writing Task 1 and Task 2",4.05,ielts,writing,beginner,explanation
23,"Intermediate English Grammar Course ( TOEFL and IELTS )","Master or refresh for TOEFL the most confusing English grammar topics and prepare to TOEFL or IELTS exams successfully.",4.2,ielts,grammar,intermediate,example
24,"IELTS Preparation Masterclass: A Complete Guide to the IELTS","Get all the essential information about the IELTS and the most effective preparation tips from an ex-IELTS examiner",4.49,ielts,"writing,speaking,reading,listening",advanced,explanation
25,"IELTS Writing Task 2 Masterclass","The Complete Guide to Achieving a Band 7+ in IELTS Task 2",4.6,ielts,writing,intermediate,explanation
26,"Succeed in IELTS Speaking","Learn to get the maximum score in IELTS Speaking Test with a qualified teacher who achieved 8.5 in IELTS",4.4,ielts,speaking,advanced,explanation
27,"Mastering IELTS Speaking: The Express Course","An essential preparation course for students aiming to achieve Band 7+ in the IELTS Speaking test",4.66,ielts,speaking,intermediate,explanation
28,"IELTS Speaking 7 Plus [Improve your IELTS speaking score]","IELTS Speaking preparation in quick, fun lessons to supercharge your IELTS speaking score (British instructor).",4.6,ielts,speaking,beginner,explanation
29,"Life in the UK Test Course with IELTS Listening and Speaking","Citizenship Preparation Course with IELTS Life Skills at B1 Level (Updated for 2020)",4.35,ielts,"speaking,listening",beginner,example
30,"HOW TO PASS IELTS WRITING: TASK 1 & TASK 2 High Band Score","Complete Advanced IELTS Writing Course, Covering Task 1 and Task 2 of the Writing Test",4.6,ielts,writing,beginner,explanation
31,"IELTS grammar fixer","Upgrade your grammar to achieve your target score in the IELTS exam",4.8,ielts,grammar,intermediate,example
32,"Essential IELTS Speaking Skills","Improve your IELTS Speaking score with high-band advice from an experienced, native IELTS tutor.",4.66,ielts,speaking,intermediate,explanation
33,"IELTS MASTERCLASS - The Fast Track to Writing Part Two","Let's knock it out of the park! Get to Band 7 in a flash! This is the FAST TRACK to IELTS success.",4.4,ielts,writing,advanced,explanation
34,"How to write a perfect IELTS writing task 1 answer","A step by step guide with practice exercises to quickly learn how to write a high band IELTS writing task 1 answer",4.2,ielts,writing,beginner,explanation
35,"IELTS Preparation: Writing Task One and Two","Learn what you've been missing: the very specific requirements of Task 1 & 2.  Make the examiner happy!",4.7,ielts,writing,intermediate,example
36,"Advanced English Grammar Course ( TOEFL and IELTS )","Master the advanced English grammar and nail TOEFL or IELTS exam! TOEFL IELTS will be a piece of cake with this course??",5,ielts,grammar,advanced,example
37,"Succeed in IELTS Writing Task 2","Learn to get the maximum score in IELTS Writing Test with a qualified teacher who achieved 9 in IELTS",4.5,ielts,writing,advanced,example
38,"English Grammar For IELTS","English Grammar for IELTS,basic English grammar,English tenses,basic English writing,English grammar,English practice",4.5,ielts,grammar,beginner,explanation
39,"Master English: Phrasal verbs for IELTS","Learn important Phrasal Verbs for IELTS and daily English Conversation to sound Fluent in English.",4.44,ielts,speaking,intermediate,explanation
40,"Unlock the IELTS - Score band 7+ Reading/Listening","Powerful techniques to improve your score immediately",3.3,ielts,"reading,listening",intermediate,explanation
41,"Master PTE-A English Test","Pearson Test of English(PTE) - Academic",3.85,pte,"writing,speaking,reading,listening",beginner,example
42,"IELTS Speaking Master Class - Professional guide","Everything you need to know about IELTS Speaking exams and the way to get a high score",3.9,ielts,speaking,advanced,example
43,"IELTS Strategies (English Version)","This course focuses on what to do when a candidate takes the IELTS test and how to do it",4.15,ielts,"writing,speaking,reading,listening",beginner,explanation
44,"IELTS Preparation Course : Full Guide & Important Tips","Most important tips to get a high band score , tricks that you should be familiar with .",0,ielts,"writing,speaking,reading,listening",beginner,example
45,"Mastering IELTS Writing: Task 2 (Band 9 Model Answers)","Fifteen full-length model essay walkthroughs looking at all question types (Academic and GT) of IELTS Writing Task 2.",4.79,ielts,writing,advanced,example
46,"Mark Teacher's IELTS Video Answer Library","Access the biggest IELTS Sample Answer Library online to prepare for your IELTS Speaking Test!",4.8,ielts,speaking,intermediate,example
47,"IELTS Writing Band 7+ with Functional Grammar","The ultimate course for IELTS writing",0,ielts,"writing,grammar",intermediate,example
48,"CONDITIONALS & KEY Vocabulary for use in your IELTS","Gain a NATIVE Level with ALL CONDITIONALS for IELTS practice and everyday use with 100+ KEY Vocabulary Words",4.15,ielts,vocabulary,beginner,example
49,"IELTS MASTERCLASS - The Fast Track to Speaking like a Native","IELTS SPEAKING "Blow the examiner's socks off"""",4.32,ielts,speaking,advanced,explanation
50,"PTE Academic (English Test) - Mastering Speaking - Score 79+","Everything you need to score PTE Speaking 90: Question Types, Scores, Formulated Answers, Templates, Examples, Resources",3.8,pte,speaking,advanced,explanation
51,"Avoid Common Mistakes in IELTS, TOEFL, SAT, FCE, and CAE","Audit your spoken & written grammar knowledge. A course for understanding common mistakes in English grammar usage.",3.5,ielts,grammar,beginner,explanation
52,"IELTS preparation guide (Reading + writing tasks)","IELTS preparation guide, is a one stop destination to prepare for your IELTS exam (Academic)",4.4,ielts,"writing,reading",intermediate,explanation
53,"Mastering IELTS Writing: Task 1 (General Training)","Complete preparation to achieve the band score you need (Band 6 to Band 8) in IELTS Writing Task 1 General Training.",4.73,ielts,writing,intermediate,explanation
54,"PTE Academic Mastery Course","Ace your PTE Exam with ZERO prior knowledge",3.25,pte,"writing,speaking,reading,listening",intermediate,example
55,"IELTS Writing Task 1 (General): Master Letter Writing","Learn how to write formal, semi-formal and informal letters to impress the IELTS examiner",4.45,ielts,writing,beginner,explanation
56,"IELTS 7 Plus: Complete IELTS Preparation [Academic]","IELTS Preparation for all sections of the  academic IELTS test.",4.59,ielts,"writing,speaking,reading,listening",intermediate,example
57,"IELTS: Academic Words for English","An in-depth course to increase your vocabulary for the IELTS exam - includes around 1000 example sentences",4.7,ielts,vocabulary,intermediate,example
58,"The IELTS Speaking Course; Get a Band 7+","Smash the IELTS Speaking Exam with a 7, 8 or 9!",4.67,ielts,speaking,advanced,example
59,"Father IELTS -- Test Preparation","Extra Free Lessons",4.4,ielts,"writing,speaking,reading,listening",beginner,example
60,"IELTS Band 7+: An EXAMINER shares techniques about full exam","More than 80 video lessons, downloadable PDFs, and honest tips to help you do your best and get a 7+!",4.6,ielts,"writing,speaking,reading,listening",intermediate,explanation
61,"IELTS Writing: Task 2 (expect band 7 - 9)","Preparation for the IELTS Writing Module (Task 2:essay)",1,ielts,writing,beginner,example
62,"IELTS Pass: Complete IELTS Preparation Course","Study Skills and Strategies to Prepare for the IELTS and get a Band 9",3.9,ielts,"writing,speaking,reading,listening",advanced,explanation
63,"IELTS Academic Reading & Listening Achieve Band 9",Acad,4.18,ielts,"reading,listening",advanced,example
64,"Ultimate TOEFL + IELTS Vocabulary Tests (Easy Words)","Test your vocabulary skills with +50 easy words for TOEFL & IELTS exams",4.15,ielts,vocabulary,beginner,example
65,"Ultimate TOEFL + IELTS Vocabulary Tests (Medium Words 1)","Test your vocabulary skills with +50 medium words for TOEFL & IELTS exams",4.5,ielts,vocabulary,intermediate,example
66,"Ultimate TOEFL + IELTS Vocabulary Tests (Medium Words 2)","Prepare for TOEFL & IELTS exams with vocabulary tests",4.33,ielts,vocabulary,intermediate,example
67,"Prepare for IELTS","TIPS FOR IELTS",3.4,ielts,"writing,speaking,reading,listening",beginner,explanation
68,"IELTS: Vocabulary Strategies for IELTS","Improve your Vocabulary for IELTS to Improve your Lexical Resource Band Score - Academic IELTS",4.63,ielts,vocabulary,intermediate,example
69,"How to get band 7 to 9 on IELTS Writing Task 1 (academic)","Preparation for the IELTS Writing Module (Task 1: academic)",2.5,ielts,writing,advanced,explanation
70,"Complete Guide to IELTS","Strategies and tips for IELTS success",4.65,ielts,"writing,speaking,reading,listening",beginner,explanation
71,"How to get Band 7+ on IELTS Writing Task 1 (General Module)","Preparation for the IELTS Writing General Module (Task 1: letter)",3.5,ielts,writing,intermediate,explanation
72,"IELTS Academic","English top tips for exam",4.5,ielts,"writing,speaking,reading,listening",beginner,explanation
73,"How to Write IELTS Task 2 (Demo)","IELTS Writing Task 2 : Demonstration (Two views and Opinion)",0,ielts,writing,beginner,explanation
74,"IELTS top tips (free course)","Top tips from IELTS examiners",4.46,ielts,"writing,speaking,reading,listening",intermediate,explanation
75,"TOEFL & IELTS Vocabulary Practice Test: All You Need to Pass","Learn over Essential Vocabulary for TOEFL iBT, PBT, and IELTS through Practice Tests",3.75,ielts,vocabulary,beginner,example
76,"IELTS AEHelp and GIELTSHelp","IELTS Academic and General Preparation - Listening, Reading, Writing: Task 1 and 2, Speaking Videos, Lessons, Exams",4.2,ielts,"writing,speaking,reading,listening",intermediate,explanation
77,"IELTS Speaking Part 2 Masterclass: Get a Band 7 to Band 9","All the materials you need to do your IELTS Speaking (Part 2) preparation without a teacher and with confidence.",4.25,ielts,speaking,advanced,example
78,"IELTS Writing Analysis: Band +7","How to be Master Of Masters in IELTS Writing",4.4,ielts,writing,advanced,explanation
79,"HOW TO GET A HIGH SCORE IN IELTS GENERAL TRAINING","Essential Tips, Strategies and Secrets for Success in IELTS General Training.",4.65,ielts,"writing,speaking,reading,listening",beginner,explanation
80,"IELTS Writing Task 1 (Academic): Band +7","How to be expert of IELTS Writing Task 1 (Academic)",3.65,ielts,writing,intermediate,explanation
81,"Prepare for IELTS & Score highest Marks in IELTS","Prepare well for the IELTS reading and speaking test and score highest marks",5,ielts,"speaking,reading",intermediate,example
82,"IELTS Step-by-step | Mastering Vocabulary","Learn IELTS words and phrases and how to use them ??get that IELTS 7+!",4.79,ielts,vocabulary,advanced,example
83,"IELTS English Exam Preparation General Information & Tips","Important Information and Tips for Students Preparing for the IELTS English Exam.",4.7,ielts,"writing,speaking,reading,listening",beginner,explanation
84,"Comprehensive English Grammar: IELTS,TOEFL,PTE,FCE,CAE,CPE","In-depth English Grammar to brush up your English language:English Writing and English conversation|IELTS,TOEFL,PTE,...",4.1,pte,"grammar,writing",beginner,explanation
85,"Ultimate TOEFL + IELTS Vocabulary Tests (Hard Words 1)","Prepare for TOEFL & IELTS exams with vocabulary tests",4.5,ielts,vocabulary,advanced,example
86,"IELTS Booster and Beyond: Enhance speaking pt 1from 6 to 7","Boosting your IELTS speaking skills from 6 to7 or beyond",3.75,ielts,speaking,beginner,example
87,"IELTS 9: Speaking Mastery","Superpower Your IELTS Speaking Score by Mastering Advanced Conversation Skills",4.44,ielts,speaking,advanced,explanation
88,"IELTS: Complete IELTS Preparation For 7+ Band","Understand IELTS Exam Basics, IELTS preparation For Band 7 Plus, get IELTS Band 7 - 9, Solved ielts Papers with Examples",4.15,ielts,"writing,speaking,reading,listening",intermediate,explanation
89,"How to write an essay in English (FCE, TOEFL, IELTS)","Learn to write essays in English for university entrance and international examinations",3.8,ielts,writing,beginner,example
90,"IELTS Writing Task 1 Academic [MASTERCLASS]: Get Band 7+","Get Band 7+ on Writing Task 1 with the World's Best Course on IELTS",4.85,ielts,writing,intermediate,explanation
91,"IELTS SPEAKING | PREPARE FOR BAND 7+ | NATIVE SPEAKER MODELS","Gain confidence. Sound natural. Use native speaker model answers to prepare for Band 7 and higher in your IELTS Speaking",4.3,ielts,speaking,intermediate,explanation
92,"Common English Phrasal Verbs for IELTS English Preparation","Fundamental for IELTS preparation: How to use English phrasal verbs through speaking, listening and writing.",4.8,ielts,"writing,speaking,listening",beginner,explanation
93,"PTE Academic (English Test) - Mastering Listening -Score 79+","Everything you need to score PTE listening 90 - Question types, Examples, Mark savers, Mistakes to avoid, Tips, and more",3.25,pte,listening,intermediate,example
94,"IELTS Booster and Beyond Premium Course 2-Note-taking skills","Speaking Part 2:  Practical 1 minute approaches to note-taking strategies to boost your IELTS from a 6 to a 7 or beyond",4.1,ielts,speaking,beginner,explanation
95,"PTE Academic (English Test) - Mastering Writing - Score 79+","Score PTE Writing 90: Question Types, Scoring, Writing examples, Templates, Academic essay structure, Study material ...",4.05,pte,writing,intermediate,explanation
96,"IELTS Writing Task 2 [MASTERCLASS]: Get Band 7+","Complete step-by-step preparation guaranteed to get you Band 7+ on your Task 2 essay (for Academic and General IELTS)",4.8,ielts,writing,intermediate,explanation
97,"IELTS Step-by-step | Mastering Listening","Learn everything you need for the IELTS Listening exam ??get that IELTS 7+!",4.56,ielts,listening,advanced,example
98,"How to Write an IELTS Task 2 Essay that Scores 6 or 7","Learn the best structures for a high scoring IELTS Task 2 essay (with over 50 Band 9 essays included)",4.85,ielts,writing,beginner,explanation
99,"IELTS Masterclass Reading Tips and Strategies","Achieve Band 7+ in IELTS Reading Task (in 14 question types and 15+ downloadable resources)",4.1,ielts,reading,intermediate,explanation
100,"The IELTS Expert: IELTS Writing Task 2 Academic & General","An intensive course by former IELTS examiners showing you how to get Band 7.0 or higher in the IELTS Writing exam",4.6,ielts,writing,advanced,example
101,"Ultimate Guide To Hacking IELTS: Prepare IELTS For 8+ Band","A Proven Program That Deconstructs Entire IELTS & Teaches You In A Smart Way",4.75,ielts,"writing,speaking,reading,listening",advanced,explanation
102,"Grammar for IELTS","An intensive grammar course to help you in all parts of the IELTS exam",4.63,ielts,grammar,beginner,explanation
103,"Score band 7+ in Academic IELTS Writing Task 1","Master IELTS Task 1 quickly and effectively",4.75,ielts,writing,intermediate,explanation
104,"IELTS Speaking [MASTERCLASS]: Get Band 7+","Full Masterclass To Get You Band 7+ on Your IELTS Speaking Test with Step-by-Step Teaching.",4.7,ielts,speaking,intermediate,explanation
105,"Mastering IELTS Speaking: Get band 7 - 9 in IELTS Speaking","Complete speaking practice for the International English Language Testing System (IELTS)",3.92,ielts,speaking,advanced,example
106,"IELTS READING MASTER COURSE - ACHIEVE 7 - 9 READING","Maximize your IELTS reading band score to 7 - 9 within 2 to 3 months. Super effective and simple steps to follow.",4.87,ielts,reading,advanced,example
107,"IELTS Academic Express 2020 - Winning Strategies","By-section IELTS Academic tasks overview & winning strategies, practice & personal feedback aka IELTS Maximizer course",4.67,ielts,"writing,speaking,reading,listening",beginner,explanation
108,"Proven Strategies for IELTS Academic Writing.","A Content Packed Training Course for Task 1 AND Task 2 Success in IELTS Academic Writing.",5,ielts,writing,intermediate,explanation
109,"Self-Taught IELTS Exam Preparation - from IELTS MASTERY","Everything you need to know. Learn to take the Ielts test without paying hundreds of euros in lessons",3.95,ielts,"writing,speaking,reading,listening",intermediate,explanation
110,"Master IELTS Writing: Learn to Master IELTS Writing Task 2","2022 Step by Step IELTS Writing Preparation achieve IELTS Success Band Score 7+ IELTS Writing Task 2 General / Academic",4.35,ielts,writing,advanced,example
111,"How to boost your IELTS Speaking band score","Make sure you achieve the IELTS Speaking score you need by understanding exactly what to do during the speaking test",4.73,ielts,speaking,beginner,explanation
112,"IELTS Speaking","IELTS Band 6",4.5,ielts,speaking,beginner,example
113,"IELTS Listening Course 2022 (by MBA Strategy)","Best IELTS Listening preparation practice! A full video course makes up every single aspect of this test section",0,ielts,listening,intermediate,example
114,"IELTS course for speaking 7+: improve your English speaking","(Fluency + pronunciation)x(idioms+uncommon vocabulary+grammar) = perfect English speech!",4.1,ielts,speaking,intermediate,example
115,"IELTS Masterclass IELTS Writing Task 1 (General Training)","Plan, brainstorm ideas and structure 3 main types and 4 sub-types of letters with Band 8 template",3.67,ielts,writing,advanced,explanation
116,"IELTS Vocabulary Masterclass","Learn advance vocabulary to improve your Band score",4.1,ielts,vocabulary,advanced,example
117,"IELTS WRITING","Akademik IELTS WRITING kursu",4.77,ielts,writing,beginner,example
118,"IELTS Speaking Exam: tips, samples, preparation","Complete preparation for IELTS Speaking Section (Band score 7+)",4.8,ielts,speaking,beginner,explanation
119,"IELTS Writing Task 2 Intensive Course (Band 7+)","Learn how to achieve your desired band scores in IELTS Writing Task 2 from someone who scored a Band 9 OBS in the test!",4.25,ielts,writing,intermediate,explanation
120,"IELTS Writing - Editing Band 9 Essays: IELTS Writing Task 2","2021 IELTS Scoring & Editing 15 Band 9 Essays -IELTS Writing Task 2 Preparation: SEE how IELTS Graders score your essays",3.9,ielts,writing,advanced,example
121,"IELTS Reading Academic [MASTERCLASS]: Get Band 7+","The Most Comprehensive Masterclass for Getting Band 7+ on IELTS Reading",4.6,ielts,reading,intermediate,example
122,"IELTS daily bites (free course)","Fuel your IELTS journey with a daily snack",4.28,ielts,"writing,speaking,reading,listening",beginner,example
123,"IELTS Writing 7 Plus: Complete IELTS Writing Preparation","Supercharge your IELTS Writing Task 1 AND Task 2 skills [Academic]",4.75,ielts,writing,intermediate,example
124,"IELTS Task 2 Advanced Grammar Course","Learn the complex grammatical structures needed to score 7 in IELTS Task 2 essay writing",4.45,ielts,grammar,beginner,example
125,"Complete IELTS Academic Preparation to achieve 7+, Free book","The best IELTS strategies & tips to learn, practice & prepare for success in Listening, Reading, Writing, Speaking",4.7,ielts,"writing,speaking,reading,listening",intermediate,explanation
126,"PTE Academic (English Test) - Mastering Reading - Score 79+","All you need to score PTE Reading 79+ Including: Question types, practice question, tips, common mistakes, scoring &more",3.5,pte,reading,intermediate,explanation
127,"Mastering IELTS Writing: Task 1 GT (Band 9 Model Letters)","Eighteen model letter walkthroughs for IELTS Writing Task 1 General Training for the best in IELTS GT preparation.",4.95,ielts,writing,advanced,example
128,"PTE Academic Complete Preparation - 4 Modules in 1 Course","Most Organised Way To Prepare For PTE Academic ! Useful phrases and model answers with proven techniques",4.05,pte,"writing,speaking,reading,listening",beginner,explanation
129,"IELTS Step-by-step | Mastering Reading","Learn everything you need for the IELTS Reading exam ??get that IELTS 7+!",4.31,ielts,reading,intermediate,example
130,"IELTS Academic Writing Part 1 - Graphs and Tables","Write a Band 7+ Essay for IELTS Task 1 (many page study guide included!)",4.7,ielts,writing,intermediate,example
131,"IELTS Step-by-step | Mastering Listening & Reading","Learn everything you need for the IELTS Listening & Reading exams ??get that IELTS 7+!",4.75,ielts,"reading,listening",intermediate,explanation
132,"My experience with the IELTS exam - IELTS","From Band 6 to Band 8",4.15,ielts,"writing,speaking,reading,listening",intermediate,explanation
133,"Complete IELTS Four Skills : Academic and General","In this course you learn everything about IELTS writing, IELTS reading, IELTS speaking and IELTS listening",3.15,ielts,"writing,speaking,reading,listening",beginner,explanation
134,"Pte academic: strategies & test hacks: advanced","strategies for the main tasks of the test",0,pte,"writing,speaking,reading,listening",advanced,explanation
135,"IELTS Step-by-step | Mastering Writing","Learn everything you need for the IELTS Writing exam ??get that IELTS 7+!",4.15,ielts,writing,advanced,explanation
136,"The PTE 85+ Academic Essay Writing Course","Mastering the Writing Exam",4.59,pte,writing,advanced,example
137,"Mastering IELTS Writing: Task 1 Academic (Band 9 Answers)","Eighteen model answer walkthroughs for IELTS Writing Task 1 Academic for the best in IELTS Academic Writing preparation.",4.74,ielts,writing,advanced,example
138,"IELTS General Training Express Course","I will tell you how I got my 8777",4.47,ielts,"writing,speaking,reading,listening",intermediate,explanation
139,"IELTS Preparation: A Complete Course and Guidelines for Exam","Learn the techniques to crack the IELTS exam after covering Listening, Reading, Writing and Speaking Modules",0,ielts,"writing,speaking,reading,listening",beginner,explanation
140,"IELTS Masterclass Achieve Band 7+ in IELTS Listening","Tips, Tricks, Most Workable Strategies, 8 Question Types with 8 Solved Examples, 8 Assignments",4.8,ielts,listening,intermediate,explanation
141,"IELTS Advanced Speaking (Band 8 - 9)","Native Idiomatic language, Advanced Grammar, Conversational linking devices.",4.85,ielts,speaking,advanced,example
142,"English Grammar: problematic topics IELTS 7","From intermediate English grammar to advanced English grammar with fun animations & 100's of English grammar questions.",4.6,ielts,grammar,intermediate,example
143,"IELTS Band 7 Complete Prep Course","IELTS General/Academic - 2021",3.8,ielts,"writing,speaking,reading,listening",beginner,example
144,"600 words for IELTS","Learn most essential words to succeed in IELTS and any other English language exam.",4.17,ielts,vocabulary,beginner,example
145,"IELTS Masterclass Achieve Band 7+ in IELTS Speaking","Strategies, Word Families, Collocations, Template for Speaking Confidently",4.55,ielts,speaking,beginner,explanation
146,"PTE Academic","PTE-A ",4.55,pte,"writing,speaking,reading,listening",beginner,explanation
147,"The Ultimate IELTS and PTE Vocabulary","To secure your 7 or 8 in IELTS and 65 or 79 in PTE Academic",4.8,pte,vocabulary,intermediate,example
148,"IELTS Speaking - Mastering Part 1, 2 & 3","A path to confirm a higher score in your IELTS Speaking Exam",5,ielts,speaking,intermediate,example
149,"IELTS Step-by-step | Mastering Speaking","Learn everything you need for the IELTS Speaking exam ??get that IELTS 7+!",3.95,ielts,speaking,intermediate,example
150,"IELTS Step-by-step | Mastering Grammar","Learn the grammar you need for the IELTS exam ??get that IELTS 7+!",4.65,ielts,grammar,intermediate,example
151,"Advanced English grammar+IELTS foundations for all","Develop foundations for IELTS with advanced grammar/listening/reading/speaking/writing skills - all in one",4.35,ielts,grammar,advanced,explanation
152,"IELTS Masterclass: Reading Practice Test ShortAnswerQuestion","practice Short Answer Question type of IELTS Reading to achieve band 8",4,ielts,reading,advanced,example
153,"IELTS Reading - Tips and tricks for 7+","Special tips and tricks that will improve your score in IELTS Reading",4.27,ielts,reading,beginner,explanation
154,"PTE Academic - Preparation Course","PTE Academic para Brasileiros",4.75,pte,"writing,speaking,reading,listening",beginner,explanation
155,"UPDATED September 2022: IELTS Speaking: Go from 5 to 8","Including IELTS SPEAKING ANSWERS - You Won't Find This Anywhere Else!",4.71,ielts,speaking,beginner,example
156,"IELTS Masterclass Ultimate Prep Course for Academic","proven IELTS techniques to achieve Band 7+ (many assignments included)",4.55,ielts,"writing,speaking,reading,listening",advanced,example
157,"IELTS LIFE SKILLS RESULTS","Proven Strategies To Pass The A1 IELTS Life Skills.",4.75,ielts,"writing,speaking,reading,listening",beginner,explanation
158,"IELTS Step-by-step | Mastering Reading & Writing","Learn everything you need for the Reading & Writing exams ??get that IELTS 7+!",4.8,ielts,"writing,reading",intermediate,explanation
159,"Visual Vocabulary course for GRE | SAT | IELTS | CAT","A unique methodology to learn hundreds of words in a short span of time.",4.1,ielts,vocabulary,intermediate,example
160,"Break through IELTS Listening 7+ IELTS Listening","Over 100,000 students across the network have a 100% score improvement rate, and the IELTS cram school director provides online learning courses for everyone",4.8,ielts,listening,intermediate,explanation
161,"Break through IELTS Reading 7+","Over 100,000 students across the network have a 100% score improvement rate, and the IELTS cram school director provides online learning courses for everyone",4.35,ielts,reading,intermediate,explanation
162,"Break through the IELTS writing score of 7 IELTS Writing","Over 100,000 students across the network have a 100% score improvement rate, and the IELTS cram school director provides online learning courses for everyone",4.45,ielts,writing,intermediate,explanation
163,"Breakthrough IELTS Speaking 7 points","Over 100,000 students across the network have a 100% score improvement rate, and the IELTS cram school director provides online learning courses for everyone",4.66,ielts,speaking,intermediate,explanation
164,"IELTS Speaking Part 3: How to get Band 7 and higher","Written by Former IELTS Examiners",4.85,ielts,speaking,intermediate,explanation
165,"PTE Academic Exam Preparation: Writing Mastery (Achieve 79+)","Complete preparation tutorials from an experienced native teacher to succeed in the Writing section of the PTE exam.",4.74,pte,writing,advanced,explanation
166,"Complete PTE preparation","PTE preparation for Speaking, Writing, Reading and Listening.",3.7,pte,"writing,speaking,reading,listening",intermediate,explanation
167,"IELTS Speaking 7 Points and Above Training","IELTS Speaking Exam Format, Tactics and Methods, Hundreds of Sample Questions and Answers",4.6,ielts,speaking,intermediate,example
168,"Test Your Vocabulary: 400 Must-Learn Words for TOEFL IELTS","Learn the essential words that have actually come up on English-language tests, including TOEFL, IELTS, and PTE.",4.25,ielts,vocabulary,beginner,example
169,"Academic IELTS","Ace the report section in the academic IELTS",3.55,ielts,writing,beginner,example
170,"IELTS Step-by-step | Mastering Vocabulary & Grammar","Learn the vocabulary and grammar you need for the IELTS exam ??get that IELTS 7+!",4.92,ielts,"vocabulary,grammar",intermediate,example
171,"IELTS Bar Charts made easy","Learn how to write about bar charts.",4.64,ielts,writing,beginner,explanation
172,"IELTS Speaking","IELTS Speaking,  Cue Card, Mind Map Technique with examples",4.13,ielts,speaking,beginner,example
173,"PTE Academic Masterclass Achieve 79+ in PTE Speaking","Tips, Techniques, Strategies to achieve 79+ in PTE Speaking (with 30+ solved examples and 100 assignments)",4.25,pte,speaking,intermediate,explanation
174,"IELTS Academic Writing for Russian speakers","6+ in IELTS Writing in 3 weeks without webinars and Skype/Zoom calls",4.67,ielts,writing,beginner,explanation
175,"IELTS Speaking Exam - all you need to know","Learn what you need to do in the IELTS Speaking exam to score well, plus practice your answers using timed mock exams.",4.65,ielts,speaking,beginner,example
176,"IELTS Reading Band 9","Maximise your Reading Band!",4.5,ielts,reading,advanced,example
