"UserID","Gender","Age","PreferredCategory","PreferredTopic","PreferredStyle","Level","AimScore"
"56","Female","28","ielts","reading,listening","example","advanced","8.5"
"57","Male","55","ielts","grammar,writing","explanation","intermediate","5.5"
"58","Male","44","ielts","vocabulary,grammar","explanation","intermediate","6"
"59","Male","21","pte","writing,reading,grammar","example","intermediate","79"
"60","Female","30","pte","speaking,grammar,reading","explanation","intermediate","73"
"61","Female","48","ielts","writing,speaking","explanation","advanced","8"
"62","Female","46","ielts","writing","example","beginner","7"
"63","Female","32","ielts","reading","explanation","advanced","6"
"64","Male","39","ielts","listening","example","beginner","6"
"65","Female","42","ielts","speaking,grammar","explanation","intermediate","7"
"66","Female","38","ielts","grammar","explanation","advanced","6"
"67","Female","53","ielts","listening","example","intermediate","5"
"68","Male","60","ielts","listening","example","intermediate","6"
"69","Male","21","ielts","speaking,listening","explanation","beginner","5.5"
"70","Male","30","pte","speaking,reading,writing","explanation","advanced","65"
"71","Male","44","ielts","writing,reading","explanation","intermediate","6"
"72","Female","19","ielts","speaking,grammar","explanation","beginner","5"
"73","Male","33","ielts","reading,grammar","example","intermediate","5"
"74","Male","49","ielts","grammar,writing","explanation","advanced","6"
"75","Female","43","ielts","speaking,reading","explanation","beginner","7"
"76","Male","28","ielts","vocabulary","example","beginner","6"
"77","Female","59","ielts","writing,speaking,listening","example","beginner","7"
"78","Female","22","ielts","writing,speaking","example","advanced","6"
"79","Male","19","ielts","writing,speaking,reading,listening","example","advanced","5.5"
"80","Male","33","pte","writing,grammar,reading","example","intermediate","65"
"81","Female","54","ielts","writing,reading","example","intermediate","6.5"
"82","Female","42","ielts","listening","explanation","beginner","6.5"
"83","Female","60","ielts","grammar,writing","explanation","beginner","6.5"
"84","Female","58","pte","vocabulary,reading,writing","explanation","advanced","65"
"85","Female","39","pte","writing,speaking,reading,listening","example","beginner","65"
"86","Male","58","pte","writing,reading","explanation","intermediate","79"
"87","Female","55","ielts","speaking,reading","explanation","beginner","6.5"
"88","Male","24","ielts","listening","example","beginner","6.5"
"89","Female","40","pte","reading,grammar,listening","example","intermediate","73"
"90","Female","38","pte","vocabulary,grammar,reading,writing","explanation","beginner","79"
"91","Female","41","ielts","speaking,grammar","example","advanced","7"
"92","Female","22","ielts","vocabulary","example","intermediate","7.5"
"93","Male","39","pte","writing,speaking,reading,listening","explanation","beginner","79"
"94","Male","59","ielts","reading,listening","explanation","advanced","5"
"95","Female","55","pte","speaking,reading,listening","explanation","beginner","83"
"96","Female","50","ielts","writing,speaking","explanation","advanced","6.5"
"97","Female","59","pte","speaking,reading,writing","example","advanced","83"
"98","Male","44","ielts","speaking,reading","example","beginner","5.5"
"99","Female","59","ielts","writing,grammar","example","intermediate","6.5"
"100","Female","51","ielts","grammar","example","beginner","8"
"101","Female","33","ielts","listening","example","beginner","6"
"102","Male","31","ielts","vocabulary","explanation","beginner","8"
"103","Female","47","ielts","writing,grammar","example","intermediate","7"
"104","Female","47","ielts","writing,reading","example","advanced","6.5"
"105","Female","27","pte","reading,listening","example","advanced","83"
"106","Female","33","pte","speaking,reading","example","advanced","58"
"107","Female","58","ielts","writing,grammar","explanation","advanced","6"
"108","Male","40","ielts","vocabulary,grammar","explanation","intermediate","7"
"109","Female","27","ielts","writing,speaking","explanation","advanced","5.5"
"110","Female","40","pte","writing,grammar,reading","example","advanced","90"
"111","Male","34","pte","speaking,grammar,reading","explanation","beginner","65"
"112","Female","52","ielts","listening","explanation","beginner","7"
"113","Female","44","ielts","listening","explanation","advanced","6"
"114","Male","48","pte","speaking,listening,writing","example","advanced","58"
"115","Male","48","ielts","reading","explanation","advanced","7"
"116","Female","59","ielts","writing,grammar","explanation","intermediate","5.5"
"117","Female","49","ielts","listening","explanation","advanced","5.5"
"118","Female","46","pte","writing,speaking,listening","example","intermediate","58"
"119","Female","38","ielts","listening","explanation","intermediate","6"
"120","Female","43","pte","reading,writing","explanation","advanced","50"
"121","Male","53","ielts","vocabulary","explanation","beginner","7"
"122","Female","19","ielts","writing,speaking","explanation","advanced","6.5"
"123","Female","33","ielts","speaking","example","intermediate","5.5"
"124","Male","48","ielts","speaking,reading","example","intermediate","6"
"125","Female","34","ielts","reading","explanation","intermediate","8"
"126","Male","19","pte","speaking,reading","example","advanced","73"
"127","Female","43","pte","reading,speaking,writing","example","beginner","79"
"128","Male","52","ielts","grammar","explanation","advanced","7.5"
"129","Female","35","pte","grammar,writing,reading","explanation","intermediate","83"
"130","Male","58","ielts","grammar","explanation","intermediate","5.5"
"131","Female","31","pte","speaking,listening,reading","example","beginner","58"
"132","Female","57","ielts","writing,speaking,listening","explanation","intermediate","5.5"
"133","Male","45","pte","writing,speaking,listening","example","intermediate","65"
"134","Female","46","ielts","vocabulary","example","advanced","6.5"
"135","Male","38","ielts","reading,listening","example","intermediate","7.5"
"136","Female","32","ielts","grammar,writing","example","beginner","5"
"137","Male","52","ielts","vocabulary","explanation","beginner","6"
"138","Male","23","ielts","reading,grammar","example","advanced","8"
"139","Female","21","ielts","writing,speaking,reading,listening","explanation","intermediate","5.5"
"140","Female","47","pte","vocabulary,reading,writing","explanation","intermediate","79"
"141","Female","59","ielts","vocabulary,grammar","explanation","intermediate","5.5"
"142","Female","41","ielts","speaking,grammar","explanation","advanced","7"
"143","Male","42","ielts","speaking,grammar","explanation","advanced","7"
"144","Female","37","pte","speaking,grammar,reading","example","beginner","58"
"145","Female","21","pte","reading,grammar,writing","example","advanced","73"
"146","Male","48","pte","writing,grammar,reading","explanation","intermediate","73"
"147","Male","54","ielts","listening","example","advanced","5"
"148","Female","39","ielts","writing","explanation","intermediate","6.5"
"149","Male","36","pte","writing,reading,speaking","explanation","beginner","58"
"150","Male","55","ielts","writing","explanation","advanced","6"
"151","Female","22","ielts","writing,grammar","example","beginner","6"
"152","Female","41","ielts","vocabulary,grammar","explanation","advanced","5"
"153","Female","19","ielts","writing,speaking,listening","example","intermediate","5.5"
"154","Female","45","ielts","writing,speaking,listening","explanation","intermediate","8.5"
"155","Male","21","pte","writing,grammar,reading","example","beginner","50"
"156","Male","32","pte","writing,grammar,reading","example","advanced","73"
"157","Female","23","ielts","writing,grammar","explanation","beginner","6.5"
"158","Male","48","ielts","vocabulary,grammar","example","advanced","5.5"
"159","Female","52","ielts","speaking,listening","explanation","advanced","5.5"
"160","Male","20","pte","reading,writing","example","intermediate","65"
"161","Female","55","ielts","reading,grammar","example","intermediate","5.5"
"162","Female","49","ielts","reading,listening","example","intermediate","6.5"
"163","Female","60","ielts","writing,reading","explanation","intermediate","5"
"164","Male","34","ielts","writing,grammar","explanation","beginner","5"
"165","Male","57","pte","speaking,reading,writing","explanation","advanced","83"
"166","Female","26","pte","speaking,grammar,reading","explanation","advanced","50"
"167","Female","25","pte","writing,speaking,reading,listening","explanation","beginner","58"
"168","Female","31","ielts","reading,listening","explanation","beginner","8"
"169","Male","29","pte","speaking,reading,listening","example","advanced","79"
"170","Male","31","ielts","reading,listening","explanation","intermediate","6"
"171","Male","43","pte","listening,reading,writing","explanation","intermediate","73"
"172","Female","53","ielts","writing,reading","explanation","beginner","8"
"173","Male","56","ielts","writing,speaking","example","advanced","8"
"174","Male","44","ielts","grammar,writing","explanation","advanced","6"
"175","Female","50","pte","speaking,reading,writing","example","advanced","58"
"176","Female","55","pte","writing,reading,speaking","explanation","advanced","73"
"177","Male","54","ielts","reading,listening","explanation","advanced","8"
"178","Male","41","ielts","vocabulary,grammar","example","beginner","5"
"179","Female","34","ielts","writing,reading","example","intermediate","6.5"
"180","Male","36","ielts","reading,listening","example","beginner","5.5"
"181","Male","48","pte","reading,listening,speaking","explanation","intermediate","50"
"182","Female","37","ielts","grammar,writing","explanation","beginner","7.5"
"183","Male","21","ielts","vocabulary","example","advanced","7"
"184","Male","59","pte","writing,speaking,listening","example","intermediate","65"
"185","Female","28","ielts","vocabulary","example","intermediate","6"
"186","Female","41","ielts","writing,grammar","explanation","beginner","6.5"
"187","Female","43","pte","listening,reading,writing","example","beginner","58"
"188","Female","55","pte","reading,listening,speaking","example","advanced","65"
"189","Female","39","ielts","speaking,reading","explanation","advanced","5.5"
"190","Male","26","pte","writing,grammar,reading","explanation","advanced","58"
"191","Female","50","ielts","writing,grammar","explanation","intermediate","9"
"192","Female","20","ielts","speaking,grammar","example","beginner","5.5"
"193","Female","46","ielts","vocabulary","example","advanced","6.5"
"194","Female","27","ielts","speaking,listening","explanation","intermediate","7"
"195","Male","18","ielts","writing","example","beginner","5"
"196","Male","54","pte","grammar,reading,writing","example","intermediate","50"
"197","Female","23","ielts","writing,speaking,listening","explanation","beginner","7"
"198","Female","23","ielts","vocabulary,grammar","explanation","beginner","7"
"199","Female","18","pte","speaking,listening,reading","example","intermediate","79"
"200","Male","46","pte","speaking,reading,writing","example","beginner","79"
"201","Male","18","pte","reading,speaking,writing","example","intermediate","65"
"202","Male","56","ielts","grammar","explanation","beginner","7"
"203","Male","52","ielts","reading,grammar","explanation","intermediate","5"
"204","Female","29","ielts","speaking,grammar","explanation","intermediate","7"
"205","Male","29","pte","writing,grammar,reading","example","advanced","79"
"206","Male","54","pte","speaking,listening,reading","example","intermediate","73"
"207","Female","24","pte","writing,speaking,reading,listening","explanation","beginner","65"
"208","Female","46","ielts","grammar","example","beginner","5.5"
"209","Male","60","ielts","grammar","example","beginner","5.5"
"210","Male","54","ielts","reading","explanation","intermediate","6.5"
"211","Female","24","ielts","vocabulary","explanation","intermediate","7.5"
"212","Male","44","pte","writing,speaking,reading,listening","explanation","intermediate","83"
"213","Male","23","pte","speaking,reading,writing","example","advanced","73"
"214","Male","57","ielts","grammar","explanation","intermediate","5.5"
"215","Male","28","ielts","writing,reading","explanation","beginner","5"
"216","Female","40","ielts","writing,reading","example","intermediate","6.5"
"217","Male","18","ielts","speaking,reading","example","advanced","5.5"
"218","Male","49","ielts","speaking,grammar","explanation","advanced","6"
"219","Male","43","ielts","writing,speaking,reading,listening","example","beginner","7"
"220","Male","31","ielts","vocabulary,grammar","explanation","beginner","5.5"
"221","Male","47","ielts","writing,speaking,reading,listening","explanation","intermediate","7"
"222","Male","27","ielts","grammar,writing","explanation","advanced","6"
"223","Male","45","pte","vocabulary,reading,writing","example","advanced","73"
"224","Female","58","ielts","grammar,writing","explanation","intermediate","7.5"
"225","Female","23","ielts","grammar","explanation","advanced","5"
"226","Female","48","ielts","vocabulary,grammar","explanation","intermediate","6.5"
"227","Female","28","ielts","speaking,listening","explanation","intermediate","5.5"
"228","Male","33","ielts","writing,speaking,listening","explanation","advanced","7"
"229","Female","37","pte","writing,grammar,reading","example","advanced","73"
"230","Male","46","ielts","writing,speaking,reading,listening","example","beginner","9"
"231","Female","54","ielts","writing,grammar","explanation","beginner","7"
"232","Female","30","ielts","listening","explanation","beginner","8.5"
"233","Male","21","ielts","writing,speaking","example","beginner","5"
"234","Female","36","ielts","writing,speaking","explanation","advanced","5.5"
"235","Female","25","ielts","writing,speaking,reading,listening","example","intermediate","7"
"236","Female","27","ielts","grammar","explanation","advanced","6"
"237","Female","38","pte","writing,speaking,reading","example","advanced","79"
"238","Male","20","ielts","vocabulary,grammar","example","advanced","5.5"
"239","Male","49","pte","speaking,grammar,reading","example","intermediate","58"
"240","Male","19","ielts","speaking,reading","explanation","beginner","6"
"241","Male","39","pte","grammar,writing,reading","explanation","advanced","50"
"242","Female","52","pte","speaking,reading,listening","explanation","beginner","79"
"243","Male","42","ielts","speaking,grammar","example","intermediate","7"
"244","Male","37","ielts","reading,listening","explanation","intermediate","6"
"245","Female","19","ielts","speaking,grammar","example","beginner","7"
"246","Male","52","ielts","vocabulary","example","advanced","6.5"
"247","Female","54","ielts","speaking","example","beginner","6"
"248","Female","35","ielts","reading","example","intermediate","5.5"
"249","Female","50","ielts","grammar,writing","explanation","intermediate","5.5"
"250","Female","41","ielts","writing,speaking,reading,listening","example","advanced","7.5"
"251","Male","48","pte","speaking,listening,reading","explanation","advanced","65"
"252","Male","21","pte","writing,speaking,reading","explanation","beginner","73"
"253","Female","57","ielts","writing,reading","explanation","advanced","7"
"254","Female","49","ielts","speaking,grammar","example","advanced","5.5"
"255","Female","27","ielts","writing,reading","example","beginner","6"
"256","Female","59","ielts","speaking,reading","explanation","advanced","6.5"
"257","Female","46","ielts","writing","explanation","beginner","5.5"
"258","Male","51","ielts","speaking,reading","explanation","beginner","8"
"259","Female","34","ielts","grammar","explanation","advanced","7"
"260","Male","40","ielts","speaking","explanation","intermediate","7.5"
"261","Male","43","pte","reading,listening,speaking","example","beginner","58"
"262","Male","34","ielts","grammar,writing","explanation","intermediate","6.5"
"263","Male","31","ielts","speaking,grammar","explanation","intermediate","6"
"264","Male","32","ielts","speaking,grammar","example","advanced","6"
"265","Female","36","ielts","reading,grammar","example","advanced","5.5"
"266","Male","36","ielts","reading","example","advanced","6"
"267","Male","23","ielts","writing,reading","example","intermediate","7"
"268","Male","51","pte","writing,grammar,speaking","explanation","advanced","73"
"269","Female","43","ielts","writing","explanation","advanced","6.5"
"270","Male","38","pte","writing,speaking,listening","explanation","advanced","50"
"271","Female","52","ielts","listening","explanation","intermediate","6"
"272","Female","30","ielts","speaking,reading","explanation","beginner","6"
"273","Female","52","ielts","writing,grammar","explanation","intermediate","7"
"274","Female","52","ielts","vocabulary","explanation","beginner","7.5"
"275","Male","22","pte","writing,speaking,reading,listening","example","advanced","50"
"276","Male","43","ielts","speaking","explanation","advanced","7"
"277","Female","41","ielts","speaking,grammar","explanation","advanced","6"
"278","Female","40","pte","speaking,grammar,reading","explanation","beginner","58"
"279","Female","52","ielts","grammar","example","intermediate","6"
"280","Female","58","pte","writing,reading,listening","example","beginner","79"
"281","Male","57","pte","speaking,grammar,reading","explanation","advanced","65"
"282","Female","32","ielts","writing","explanation","beginner","6"
"283","Male","57","ielts","reading","example","advanced","6"
"284","Male","57","ielts","writing,speaking","explanation","intermediate","6"
"285","Female","41","ielts","writing,grammar","explanation","beginner","7.5"
"286","Female","44","ielts","writing,reading","example","intermediate","6"
"287","Male","18","ielts","writing,speaking","example","intermediate","7.5"
"288","Female","53","ielts","writing","explanation","advanced","5"
"289","Male","43","ielts","reading,listening","example","intermediate","5.5"
"290","Female","25","ielts","vocabulary,grammar","explanation","advanced","5.5"
"291","Female","59","pte","speaking,reading,writing","explanation","advanced","50"
"292","Female","42","ielts","listening","example","advanced","5"
"293","Female","53","ielts","writing,speaking","example","advanced","5"
"294","Male","26","ielts","listening","explanation","intermediate","5.5"
"295","Male","54","pte","grammar,writing,reading","explanation","intermediate","90"
"296","Male","20","ielts","writing,speaking,listening","explanation","beginner","7"
"297","Male","50","ielts","writing,speaking,listening","example","advanced","8"
"298","Female","46","pte","writing,speaking,reading","example","intermediate","73"
"299","Male","34","ielts","speaking","example","beginner","6.5"
"300","Male","56","pte","reading,writing","example","intermediate","58"
"301","Female","33","pte","speaking,listening,reading","example","advanced","58"
"302","Female","31","pte","writing,grammar,reading","explanation","intermediate","65"
"303","Female","54","pte","reading,grammar,writing","explanation","intermediate","73"
"304","Male","45","ielts","speaking,listening","explanation","intermediate","5"
"305","Male","48","pte","reading,writing","example","advanced","65"
"306","Female","26","ielts","vocabulary","explanation","beginner","6.5"
"307","Female","35","ielts","writing,speaking,reading,listening","explanation","advanced","5.5"
"308","Female","48","pte","writing,speaking,listening","explanation","intermediate","65"
"309","Male","49","ielts","grammar","example","intermediate","6.5"
"310","Male","29","ielts","vocabulary,grammar","example","advanced","8"
"311","Female","18","ielts","speaking,grammar","example","intermediate","6"
"312","Male","40","pte","listening,reading","example","advanced","79"
"313","Female","40","pte","speaking,grammar,reading","explanation","advanced","79"
"314","Female","52","ielts","speaking","example","intermediate","7"
"315","Female","26","ielts","speaking,grammar","example","beginner","6"
"316","Male","49","ielts","reading","explanation","intermediate","7.5"
"317","Female","21","ielts","reading,listening","explanation","advanced","7"
"318","Male","28","ielts","speaking,listening","explanation","advanced","5"
"319","Male","21","ielts","writing,reading","explanation","intermediate","8"
"320","Male","49","pte","reading,grammar,writing","example","intermediate","73"
"321","Male","39","ielts","speaking","explanation","beginner","6.5"
"322","Female","46","pte","writing,speaking,reading","explanation","advanced","73"
"323","Female","34","ielts","writing,speaking","example","advanced","6.5"
"324","Female","51","ielts","speaking,grammar","example","advanced","5.5"
"325","Male","48","ielts","writing,speaking,reading,listening","explanation","advanced","6.5"
"326","Male","52","pte","writing,speaking,listening","explanation","beginner","65"
"327","Male","23","ielts","writing,speaking","explanation","beginner","5"
"328","Male","46","pte","speaking,reading,writing","explanation","advanced","58"
"329","Female","59","ielts","writing,speaking","example","beginner","6"
"330","Female","38","ielts","writing,grammar","explanation","beginner","8.5"
"331","Male","22","ielts","listening","example","advanced","6.5"
"332","Female","24","pte","speaking,listening,reading","explanation","advanced","65"
"333","Male","20","ielts","writing,speaking,listening","explanation","intermediate","5.5"
"334","Male","27","pte","writing,grammar,listening","explanation","intermediate","50"
"335","Male","25","ielts","reading","explanation","advanced","6"
"336","Male","32","ielts","writing","example","advanced","7"
"337","Female","33","ielts","reading,listening","example","beginner","6.5"
"338","Male","33","pte","vocabulary,grammar,reading,writing","explanation","beginner","83"
"339","Male","24","ielts","vocabulary","explanation","beginner","6.5"
"340","Female","32","ielts","reading,listening","explanation","intermediate","7.5"
"341","Female","53","ielts","reading,grammar","explanation","advanced","6"
"342","Male","36","ielts","speaking,listening","example","advanced","6"
"343","Female","23","pte","grammar,writing,reading","explanation","intermediate","73"
"344","Female","34","pte","reading,writing,listening","example","advanced","79"
"345","Male","37","pte","vocabulary,grammar,reading,writing","example","advanced","79"
"346","Female","32","ielts","writing,speaking","explanation","intermediate","6.5"
"347","Female","40","ielts","speaking","explanation","intermediate","6.5"
"348","Female","59","pte","grammar,writing,reading","example","beginner","65"
"349","Female","59","pte","reading,writing","explanation","advanced","58"
"350","Male","40","ielts","writing,speaking,reading,listening","example","intermediate","6"
"351","Male","40","ielts","vocabulary,grammar","explanation","intermediate","7.5"
"352","Female","60","ielts","writing,speaking,reading,listening","example","advanced","6.5"
"353","Female","41","pte","speaking,grammar,reading","explanation","advanced","73"
"354","Male","45","pte","speaking,reading,writing","explanation","beginner","65"
"355","Male","27","ielts","vocabulary","explanation","beginner","6.5"
"356","Male","23","pte","vocabulary,reading,writing,speaking","explanation","beginner","58"
"357","Male","32","ielts","grammar,writing","explanation","beginner","6.5"
"358","Male","40","ielts","writing,speaking,reading,listening","explanation","advanced","5.5"
"359","Male","30","ielts","speaking","example","beginner","6.5"
"360","Male","56","ielts","speaking,grammar","explanation","beginner","8.5"
"361","Male","56","pte","writing,grammar,reading","explanation","advanced","73"
"362","Female","53","ielts","writing,grammar","example","beginner","5.5"
"363","Female","53","ielts","grammar,writing","explanation","advanced","6"
"364","Female","41","pte","writing,grammar,reading","explanation","beginner","58"
"365","Female","54","pte","vocabulary,reading,writing","example","advanced","79"
"366","Female","49","ielts","speaking,listening","explanation","beginner","5.5"
"367","Female","53","pte","writing,speaking,reading,listening","explanation","beginner","73"
"368","Female","24","pte","speaking,listening,reading","explanation","beginner","73"
"369","Female","27","ielts","reading,listening","explanation","advanced","7"
"370","Male","37","pte","writing,grammar,reading","explanation","intermediate","73"
"371","Male","42","ielts","listening","example","beginner","5.5"
"372","Female","37","ielts","reading","explanation","advanced","5"
"373","Male","20","pte","speaking,reading,writing","example","intermediate","90"
"374","Female","33","ielts","writing,speaking,listening","example","intermediate","5.5"
"375","Female","39","ielts","writing,speaking","example","beginner","7"
"376","Female","24","pte","writing,speaking,listening","example","advanced","58"
"377","Female","20","pte","reading,listening,writing","example","advanced","73"
"378","Male","59","ielts","writing,speaking,listening","example","advanced","5.5"
"379","Male","34","ielts","writing,grammar","example","beginner","8"
"380","Male","38","ielts","writing","explanation","intermediate","6.5"
"381","Male","39","ielts","listening","explanation","advanced","8.5"
"382","Female","50","ielts","speaking,reading","example","intermediate","8"
"383","Female","21","ielts","grammar,writing","explanation","advanced","7.5"
"384","Female","50","ielts","speaking,listening","example","beginner","6.5"
"385","Male","18","ielts","writing,speaking","example","advanced","8.5"
"386","Female","56","ielts","listening","explanation","advanced","8.5"
"387","Male","39","ielts","grammar,writing","example","advanced","5.5"
"388","Female","57","ielts","speaking,reading","explanation","intermediate","6"
"389","Male","34","ielts","speaking,listening","explanation","beginner","6"
"390","Female","32","ielts","reading,listening","explanation","beginner","7"
"391","Female","58","ielts","vocabulary","example","advanced","6"
"392","Male","46","ielts","vocabulary,grammar","example","intermediate","5.5"
"393","Female","31","pte","writing,speaking,listening","example","intermediate","83"
"394","Female","53","ielts","vocabulary,grammar","explanation","beginner","5.5"
"395","Female","53","ielts","writing,grammar","example","advanced","6"
"396","Female","58","ielts","speaking","example","beginner","5.5"
"397","Male","35","ielts","grammar","explanation","advanced","7.5"
"398","Female","34","ielts","reading,grammar","explanation","beginner","9"
"399","Female","24","pte","listening,reading,writing","example","advanced","65"
"400","Female","45","ielts","reading","example","beginner","6"
"401","Male","27","ielts","writing,grammar","explanation","beginner","5"
"402","Male","48","ielts","writing,grammar","explanation","intermediate","7.5"
"403","Female","25","ielts","reading,grammar","example","beginner","6"
"404","Male","24","pte","writing,reading,speaking","explanation","advanced","58"
"405","Male","51","pte","writing,reading,listening","example","advanced","65"
"406","Male","33","ielts","grammar,writing","example","advanced","5.5"
"407","Female","19","ielts","speaking,reading","explanation","advanced","7"
"408","Female","20","ielts","writing,grammar","example","intermediate","7"
"409","Male","53","ielts","listening","explanation","advanced","7"
"410","Male","22","pte","reading,listening,writing","explanation","intermediate","73"
"411","Female","34","pte","reading,grammar,writing","example","advanced","65"
"412","Male","44","pte","vocabulary,grammar,reading,writing","explanation","advanced","73"
"413","Male","57","pte","speaking,reading,writing","example","intermediate","83"
"414","Male","43","ielts","writing,reading","explanation","advanced","8"
"415","Male","30","pte","grammar,reading,writing","explanation","intermediate","83"
"416","Female","26","ielts","listening","example","intermediate","6.5"
"417","Female","53","ielts","speaking,reading","explanation","advanced","8"
"418","Male","20","ielts","grammar,writing","explanation","beginner","7"
"419","Female","37","ielts","grammar,writing","explanation","advanced","6"
"420","Male","46","pte","listening,reading,speaking","explanation","beginner","58"
"421","Female","55","ielts","vocabulary,grammar","example","advanced","5"
"422","Male","48","ielts","vocabulary","example","advanced","5"
"423","Male","35","pte","speaking,listening,reading","explanation","advanced","50"
"424","Male","24","ielts","speaking,grammar","example","intermediate","5"
"425","Male","52","ielts","speaking,grammar","explanation","beginner","5.5"
"426","Male","34","ielts","writing,speaking,listening","example","beginner","5.5"
"427","Male","52","pte","writing,reading,speaking","explanation","intermediate","58"
"428","Female","21","pte","speaking,reading,writing","example","advanced","79"
"429","Male","43","ielts","reading,grammar","example","beginner","7.5"
"430","Female","30","ielts","grammar","example","intermediate","5.5"
"431","Male","47","pte","writing,reading,speaking","example","beginner","90"
"432","Female","23","pte","speaking,grammar,reading","example","beginner","79"
"433","Male","35","ielts","writing","explanation","beginner","5.5"
"434","Female","49","ielts","reading,grammar","example","advanced","7.5"
"435","Male","22","pte","writing,grammar,reading","example","beginner","65"
"436","Female","55","ielts","writing,grammar","example","beginner","8.5"
"437","Male","48","ielts","grammar,writing","example","beginner","6"
"438","Female","44","ielts","speaking","explanation","beginner","6.5"
"439","Male","45","pte","speaking,listening,reading","example","beginner","65"
"440","Male","50","ielts","speaking","explanation","intermediate","5.5"
"441","Female","26","ielts","grammar,writing","example","intermediate","7"
"442","Female","23","pte","writing,speaking,reading","explanation","beginner","79"
"443","Male","52","pte","writing,reading,listening","explanation","intermediate","83"
"444","Female","22","ielts","writing","example","intermediate","9"
"445","Female","44","ielts","writing,grammar","explanation","advanced","5"
"446","Male","25","ielts","vocabulary","example","advanced","7"
"447","Female","43","ielts","reading,grammar","example","advanced","7"
"448","Male","53","ielts","listening","example","intermediate","6.5"
"449","Male","37","pte","grammar,writing,reading","explanation","advanced","83"
"450","Female","25","ielts","grammar","example","intermediate","5.5"
"451","Male","39","pte","listening,reading,writing","explanation","advanced","83"
"452","Male","45","pte","grammar,reading,writing","example","beginner","50"
"453","Male","35","ielts","writing,speaking,listening","example","beginner","7"
"454","Male","55","ielts","reading,listening","explanation","intermediate","7.5"
"455","Female","26","ielts","writing,grammar","example","advanced","5"
"456","Female","56","ielts","speaking,grammar","explanation","beginner","5.5"
"457","Male","54","ielts","speaking,reading","explanation","intermediate","5.5"
